PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,month_id,cap,daysmonth,monthyear,CF,C_BC,C_FR,C_ST,Gen_BC,Gen_FR,Gen_ST,season,CF_BC,CF_ST,CF_FR,seasonyear,align_raw,align_spd,align_spd3,CF_BC_hat,CF_BC_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56679,2008,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,,232891.56,1,0,31,1,,0,0,0,,,,1,,,,1,.65482932,.67826027,.72845858,,,,,,
56679,2008,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,,232891.56,2,0,29,2,,0,0,0,,,,1,,,,1,.59970009,.6341241,.69737983,,,,,,
56679,2008,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,,232891.56,3,0,31,3,,0,0,0,,,,2,,,,2,.55071849,.53398812,.52520603,,,,,,
56679,2008,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,,232891.56,4,0,30,4,,0,0,0,,,,2,,,,2,.55409646,.56900579,.59157073,,,,,,
56679,2008,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,25628.13,232891.56,5,130.5,31,5,.2639571726322174,130.5,0,0,25628.13,,,2,.26395717,,,2,.57846189,.58048159,.58907402,,,,,,
56679,2008,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,26801.28,232891.56,6,130.5,30,6,.2852413654327393,130.5,0,0,26801.28,,,3,.28524137,,,3,.64929748,.65243524,.65323496,,,,,,
56679,2008,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,17535.87,232891.56,7,130.5,31,7,.180610865354538,130.5,0,0,17535.87,,,3,.18061087,,,3,.62527382,.64454055,.69747472,,,,,,
56679,2008,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,14113.44,232891.56,8,130.5,31,8,.1453615128993988,130.5,0,0,14113.44,,,3,.14536151,,,3,.55409157,.5530293,.54538202,,,,,,
56679,2008,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,16927.02,232891.56,9,130.5,30,9,.1801513433456421,130.5,0,0,16927.02,,,4,.18015134,,,4,.52710342,.53772819,.60192782,,,,,,
56679,2008,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,36891.36,232891.56,10,130.5,31,10,.3799629211425781,130.5,0,0,36891.36,,,4,.37996292,,,4,.52934051,.55240297,.643583,,,,,,
56679,2008,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,43085.79,232891.56,11,130.5,30,11,.4585545957088471,130.5,0,0,43085.79,,,4,.4585546,,,4,.63304585,.64525586,.66374534,,,,,,
56679,2008,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,51908.67,232891.56,12,130.5,31,12,.5346338748931885,130.5,0,0,51908.67,5464,,1,.53463387,,,4,.62793356,.64937687,.69041502,,,,,,
56679,2009,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,40137,390208.55,1,130.5,31,13,.4133914113044739,130.5,0,0,40137,8825,,1,.41339141,,,5,.65942341,.67140913,.69379503,,,,,,
56679,2009,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,48475,390208.55,2,130.5,28,14,.5527617931365967,130.5,99,0,48475,60866,,1,.55276179,,.91489297,5,.61673748,.64351231,.70175308,.80961406,.80961406,1.4646708,1.4646708,.25685227,.25685227
56679,2009,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,42737,390208.55,3,130.5,31,15,.4401701390743256,130.5,400.5,0,42737,89880,,2,.44017014,,.30163908,6,.50387818,.53350478,.59678984,.34654105,.34654105,.78728884,.78728884,-.093629092,-.093629092
56679,2009,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,42737,390208.55,4,130.5,30,16,.4548424780368805,130.5,400.5,0,42737,117830,,2,.45484248,,.40862116,6,.54993355,.56637168,.59605402,.42466083,.42466083,.93364376,.93364376,-.030181646,-.030181646
56679,2009,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,29255,390208.55,5,130.5,31,17,.3013121485710144,130.5,400.5,0,29255,64372,,2,.30131215,,.21603373,6,.56569481,.57425451,.57997137,.28159684,.28159684,.93456846,.93456846,-.019715309,-.019715309
56679,2009,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,21310,390208.55,6,130.5,30,18,.2267986387014389,130.5,400.5,0,21310,47881,,3,.22679864,,.16604592,7,.58811295,.59999949,.63130665,.25222513,.25222513,1.1121104,1.1121104,.025426492,.025426492
56679,2009,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,13439.25,390208.55,7,130.5,31,19,.1384176909923554,130.5,400.5,0,13439.25,29349,,3,.13841769,,.098495834,7,.60195881,.59176147,.58283806,.19605687,.19605687,1.4164149,1.4164149,.057639182,.057639182
56679,2009,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,20370,390208.55,8,130.5,31,20,.2098010182380676,130.5,400.5,0,20370,44017,,3,.20980102,,.14772193,7,.58599252,.60691959,.65112346,.24159805,.24159805,1.151558,1.151558,.031797037,.031797037
56679,2009,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,15143,390208.55,9,130.5,30,21,.161164328455925,130.5,400.5,0,15143,29499,,4,.16116433,,.10229921,8,.50207323,.52461797,.64104974,.20697749,.20697749,1.2842636,1.2842636,.045813158,.045813158
56679,2009,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,32937.3,390208.55,10,130.5,31,22,.3392380475997925,130.5,400.5,0,32937.3,80694,,4,.33923805,,.27081069,8,.54866642,.56622988,.58352888,.32214585,.32214585,.9496159,.9496159,-.017092198,-.017092198
56679,2009,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,38627,390208.55,11,130.5,30,23,.4111004769802094,130.5,400.5,0,38627,110237,,4,.41110048,,.3822895,8,.53894961,.55787057,.58520669,.403891,.403891,.982463,.982463,-.0072094798,-.0072094798
56679,2009,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,45041,390208.55,12,130.5,31,24,.4639002084732056,130.5,600.5,0,45041,146951,,1,.46390021,,.32891721,8,.58030117,.60231888,.67500561,.37742299,.37742299,.81358659,.81358659,-.08647722,-.08647722
56679,2010,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,38151,359855.75,1,130.5,31,25,.3929365873336792,130.5,600.5,0,38151,154313,,1,.39293659,,.34539542,9,.69972742,.70561773,.72775662,.37279657,.37279657,.94874483,.94874483,-.020140022,-.020140022
56679,2010,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,24709.41,359855.75,2,130.5,28,26,.2817621231079102,130.5,600.5,0,24709.41,105067,,1,.28176212,,.26036587,9,.69145012,.72201645,.72531873,.31028417,.31028417,1.1012274,1.1012274,.028522044,.028522044
56679,2010,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,24961,359855.75,3,130.5,31,27,.2570860683917999,130.5,600.5,0,24961,132917,,2,.25708607,,.29750523,10,.50504035,.49839455,.48964977,.30448622,.30448622,1.1843746,1.1843746,.047400147,.047400147
56679,2010,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,43525.35,359855.75,4,130.5,30,28,.4632327556610107,130.5,600.5,0,43525.35,178972,,2,.46323276,,.4139421,10,.54032731,.54570335,.54406613,.39723095,.39723095,.85751915,.85751915,-.066001803,-.066001803
56679,2010,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,31281.03,359855.75,5,130.5,31,29,.3221792876720429,130.5,600.5,0,31281.03,125497,,2,.32217929,,.2808972,10,.52719808,.53839344,.59520745,.30710286,.30710286,.95320487,.95320487,-.015076429,-.015076429
56679,2010,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,20640.51,359855.75,6,130.5,30,30,.219673365354538,130.5,600.5,0,20640.51,82674,,3,.21967337,,.19121565,11,.60063952,.62433177,.6680041,.25170898,.25170898,1.145833,1.145833,.032035619,.032035619
56679,2010,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,15597.45,359855.75,7,130.5,31,31,.1606460809707642,130.5,600.5,0,15597.45,58835,,3,.16064608,,.1316891,11,.53924441,.56466967,.62700146,.2024513,.2024513,1.2602319,1.2602319,.041805223,.041805223
56679,2010,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,12864,359855.75,8,130.5,31,32,.1324928998947144,130.5,600.5,0,12864,45927,,3,.1324929,,.1027974,11,.53092057,.54635495,.57784683,.17445317,.17445317,1.3166982,1.3166982,.041960269,.041960269
56679,2010,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,27907,359855.75,9,130.5,30,33,.2970093786716461,130.5,600.5,0,27907,118452,,4,.29700938,,.27396613,12,.60113633,.63285714,.68959737,.31523347,.31523347,1.0613587,1.0613587,.01822409,.01822409
56679,2010,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,37048,359855.75,10,130.5,31,34,.3815762400627136,130.5,600.5,0,37048,154686,,4,.38157624,,.3462303,12,.67246485,.66155428,.6611163,.36408877,.36408877,.95417047,.95417047,-.017487466,-.017487466
56679,2010,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,44039,359855.75,11,130.5,30,35,.4686994552612305,130.5,600.5,0,44039,179569,,4,.46869946,,.41532287,12,.56169182,.57860118,.60318941,.4065077,.4065077,.86730993,.86730993,-.062191755,-.062191755
56679,2010,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC ,RFC,WT,WND,39132,359855.75,12,130.5,31,36,.4030404090881348,130.5,600.5,0,39132,162903,,1,.40304041,,.36462224,12,.59650123,.60476285,.63575679,.37399051,.37399051,.92792308,.92792308,-.029049903,-.029049903
56679,2011,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,33235,347721,1,130.5,31,37,.3423041999340057,130.5,600.5,0,33235,141984,,1,.3423042,,.31779969,13,.67695183,.68662524,.71774477,.36661771,.36661771,1.0710289,1.0710289,.024313509,.024313509
56679,2011,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,40368,347721,2,130.5,28,38,.460317462682724,130.5,600.5,0,40368,179035,,1,.46031746,,.4436655,13,.61711639,.60952491,.59485561,.44146422,.44146422,.95904297,.95904297,-.018853247,-.018853247
56679,2011,March,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,40523,347721,3,130.5,31,39,.4173670411109924,130.5,600.5,0,40523,171150,,2,.41736704,,.38308132,14,.53106391,.54047114,.58322209,.39553988,.39553988,.94770271,.94770271,-.021827161,-.021827161
56679,2011,April,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,45354,347721,4,130.5,30,40,.4826947748661041,130.5,600.5,0,45354,192220,,2,.48269477,,.44458321,14,.56402999,.57955474,.60682887,.44380945,.44380945,.91944116,.91944116,-.038885325,-.038885325
56679,2011,May,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,29181,347721,5,130.5,31,41,.3005499839782715,130.5,600.5,0,29181,125582,,2,.30054998,,.28108746,14,.52850157,.53461295,.55184257,.31657672,.31657672,1.0533247,1.0533247,.016026735,.016026735
56679,2011,June,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,23964,347721,6,130.5,30,42,.25504469871521,130.5,600.5,0,23964,83226,4032,3,.2550447,,.19249237,15,.55107516,.56181747,.58048248,.25580287,.25580287,1.0029727,1.0029727,.00075817108,.00075817108
56679,2011,July,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,12812,347721,7,130.5,31,43,.1319573223590851,130.5,600.5,0,12812,23996,7634,3,.13195732,,.053709723,15,.56118155,.55994266,.55264217,.15043554,.15043554,1.1400317,1.1400317,.018478215,.018478215
56679,2011,August,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,11943,347721,8,130.5,31,44,.1230070441961289,130.5,600.5,0,11943,23942,12557,3,.12300704,,.053588856,15,.56616861,.58143479,.5982998,.15673143,.15673143,1.2741662,1.2741662,.033724383,.033724383
56679,2011,September,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,20176,347721,9,130.5,30,45,.2147296667098999,130.5,600.5,0,20176,47338,19492,4,.21472967,,.10948747,16,.61885744,.61958325,.62255317,.20099443,.20099443,.93603474,.93603474,-.013735235,-.013735235
56679,2011,October,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,21695,347721,10,130.5,31,46,.223447859287262,130.5,600.5,0,21695,117812,25679,4,.22344786,.22948661,.26369601,16,.59201652,.63831389,.68545413,.24842326,.32254326,1.1117729,1.4434834,.024975404,.099095404
56679,2011,November,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,39528,347721,11,130.5,30,47,.4206896424293518,130.5,600.5,0,39528,202493,45770,4,.42068964,.4226692,.4683435,16,.56234246,.56515592,.58056295,.40955269,.45750964,.9735269,1.087523,-.011136949,.036819994
56679,2011,December,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,28942,347721,12,130.5,31,48,.298088401556015,130.5,600.5,0,28942,139135,32470,1,.2980884,.29017603,.31142282,16,.62544614,.63806552,.67696863,.28424996,.35625342,.95357603,1.1951268,-.01383844,.058165014
56679,2012,January,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,36240,341084,1,130.5,31,49,.3732542395591736,130.5,600.5,0,36240,192167,34341,1,.37325424,.30689669,.43012318,17,.64616734,.68561643,.76542795,.39592949,.48999742,1.0607501,1.3127712,.022675246,.11674318
56679,2012,February,Benton County Wind Farm,Orion Energy Group LLC,55931,IN,ENC,RFC,WT,WND,29835,341084,2,130.5,29,50,.3284780085086823,130.5,600.5,0,29835,141856,24297,1,.32847801,.23211093,.33941063,17,.61063296,.62769431,.67879486,.33909786,.41155684,1.0323305,1.2529205,.010619849,.083078831
