PlantId,year,Month,PlantName,OperatorName,OperatorId,PlantState,CensusRegion,NERCRegion,ReportedPrimeMover,ReportedFuelTypeCode,Netgen,NetGenerationMegawatthours,cap,month_id,daysmonth,monthyear,CF,C_WW,C_FC,Gen_C,Gen_WW,Gen_FC,season,CF_C,CF_WW,CF_FC,seasonyear,align_raw,align_spd,align_spd3,CF_WW_hat,CF_WW_hat_no,CFrat,CFrat_no,CFdiff,CFdiff_no
56355,2009,January,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,1,31,1,,0,0,53817,,,1,.36167338,,,1,.56354916,.53935498,.50002462,.28503707,.28503707,,,,
56355,2009,February,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,2,28,2,,0,0,55327,,,1,.41165924,,,1,.52319902,.54483318,.57583535,.32124442,.32124442,,,,
56355,2009,March,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,3,31,3,,0,0,56233,,,2,.37790996,,,2,.48993206,.51440936,.53784907,.26697987,.26697987,,,,
56355,2009,April,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,4,30,4,,0,0,57011,,,2,.39590973,,,2,.42040357,.44025579,.47769329,.2787101,.2787101,,,,
56355,2009,May,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,5,31,5,,0,0,42069,,,2,.28272179,,,2,.53545487,.5618546,.63555223,.22657385,.22657385,,,,
56355,2009,June,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,6,30,6,,0,0,26127,,,3,.18143751,,,3,.43862578,.43174937,.44860941,.077625602,.077625602,,,,
56355,2009,July,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,7,31,7,,0,0,19906,,,3,.13377689,,,3,.49819762,.50415158,.52884936,.059462141,.059462141,,,,
56355,2009,August,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,8,31,8,,0,0,28092,,,3,.18879032,,,3,.51782078,.53748053,.57482922,.11764426,.11764426,,,,
56355,2009,September,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,,40919,0,9,30,9,,0,0,17053,,,4,.11842361,,,4,.44235837,.45421916,.48652092,.060465444,.060465444,,,,
56355,2009,October,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,4362,40919,200,10,31,10,.0293145161122084,200,0,42692,4362,,4,.2869086,.029314516,,4,.49327484,.50185394,.52375716,.23345999,.23345999,7.9639721,7.9639721,.20414548,.20414548
56355,2009,November,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,9498,40919,200,11,30,11,.0659583359956741,200,0,49851,9498,,4,.3461875,.065958336,,4,.49000677,.49309835,.51339602,.32684255,.32684255,4.9552879,4.9552879,.26088423,.26088423
56355,2009,December,Whispering Willow,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,27059,40919,200,12,31,12,.1818481236696243,200,0,44983,27059,,1,.3023051,.18184812,,4,.49052939,.47410825,.43116486,.25493041,.25493041,1.4018863,1.4018863,.073082283,.073082283
56355,2010,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,21738,353163,200,1,31,13,.1460887044668198,200,0,48488,21738,,1,.3258602,.1460887,,5,.5165717,.52655292,.52554053,.27046049,.27046049,1.8513442,1.8513442,.12437178,.12437178
56355,2010,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,26166,353163,200,2,28,14,.1946875005960465,200,0,37193,26166,,1,.27673364,.1946875,,5,.41073546,.41383046,.41178757,.17260805,.17260805,.8865903,.8865903,-.022079453,-.022079453
56355,2010,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,23264,353163,200,3,31,15,.156344085931778,200,0,43955,23264,,2,.29539651,.15634409,,6,.42079413,.43309343,.47605705,.18996094,.18996094,1.2150184,1.2150184,.033616856,.033616856
56355,2010,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,19903,353163,200,4,30,16,.1382152736186981,200,0,49439,19903,,2,.34332639,.13821527,,6,.47616649,.4889003,.51248598,.25634548,.25634548,1.8546827,1.8546827,.11813021,.11813021
56355,2010,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,21298,353163,200,5,31,17,.1431317180395126,200,0,39461,21298,,2,.26519489,.14313172,,6,.44386294,.48410416,.56264412,.18867965,.18867965,1.3182238,1.3182238,.045547932,.045547932
56355,2010,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,23710,353163,200,6,30,18,.1646527796983719,200,0,29467,23710,,3,.20463194,.16465278,,7,.55614239,.57009757,.601309,.14802292,.14802292,.89900041,.89900041,-.01662986,-.01662986
56355,2010,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,18226,353163,200,7,31,19,.1224865615367889,200,0,20336,18226,,3,.13666667,.12248656,,7,.60788596,.63780004,.68212295,.11659086,.11659086,.95186657,.95186657,-.0058956966,-.0058956966
56355,2010,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,27226,353163,200,8,31,20,.1829704344272614,200,0,29250,27226,,3,.19657259,.18297043,,7,.62485063,.65098548,.68952411,.16412343,.16412343,.89699429,.89699429,-.018847004,-.018847004
56355,2010,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,34608,353163,200,9,30,21,.2403333336114883,200,0,39443,34608,,4,.27390972,.24033333,,8,.51157033,.56268418,.64214963,.21971433,.21971433,.91420662,.91420662,-.020619005,-.020619005
56355,2010,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,41709,353163,200,10,31,22,.2803024053573608,200,0,46517,41709,,4,.31261426,.28030241,,8,.5869509,.62267232,.70988762,.3175661,.3175661,1.132941,1.132941,.037263691,.037263691
56355,2010,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,45173,353163,200,11,30,23,.3137013912200928,200,0,63530,45173,,4,.44118056,.31370139,,8,.5422644,.52020884,.47158235,.37482372,.37482372,1.1948423,1.1948423,.061122328,.061122328
56355,2010,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC ,MRO,WT,WND,50142,353163,200,12,31,24,.3369758129119873,200,0,49694,50142,,1,.33396506,.33697581,,8,.48355263,.47574115,.43703365,.27805582,.27805582,.82515067,.82515067,-.058919996,-.058919996
56355,2011,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,40829,568237,200,1,31,25,.2743884325027466,200,0,40151,40829,,1,.26983199,.27438843,,9,.52999997,.52283508,.51134902,.31296647,.31296647,1.1405964,1.1405964,.038578033,.038578033
56355,2011,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,51621,568237,200,2,28,26,.3840848207473755,200,0,53935,51621,,1,.40130207,.38408482,,9,.56863248,.55393153,.52415681,.38055712,.38055712,.99081528,.99081528,-.0035277009,-.0035277009
56355,2011,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,38758,568237,200,3,31,27,.2604704201221466,200,0,48999,38758,,2,.32929435,.26047042,,10,.41116941,.41158238,.41356996,.27475047,.27475047,1.0548241,1.0548241,.014280051,.014280051
56355,2011,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,68242,568237,200,4,30,28,.4739027917385101,200,0,66093,68242,,2,.45897916,.47390279,,10,.51800412,.51557553,.51334524,.41821042,.41821042,.88248146,.88248146,-.055692375,-.055692375
56355,2011,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,49975,568237,200,5,31,29,.3358534872531891,200,0,62426,49975,,2,.41952956,.33585349,,10,.47320697,.48832312,.5177021,.35971799,.35971799,1.0710562,1.0710562,.023864508,.023864508
56355,2011,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,47045,568237,200,6,30,30,.3267014026641846,200,0,43651,47045,,3,.30313194,.3267014,,11,.50740212,.5297066,.58970231,.29401392,.29401392,.89994693,.89994693,-.032687485,-.032687485
56355,2011,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,27622,568237,200,7,31,31,.1856317222118378,200,0,20512,27622,,3,.13784947,.18563172,,11,.54661953,.56528783,.62260801,.18073939,.18073939,.97364497,.97364497,-.0048923343,-.0048923343
56355,2011,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,24971,568237,200,8,31,32,.1678158640861511,200,0,18104,24971,,3,.12166667,.16781586,,11,.50956964,.52125043,.54597819,.14750615,.14750615,.87897617,.87897617,-.020309716,-.020309716
56355,2011,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,29295,568237,200,9,30,33,.2034375071525574,200,0,26109,29295,,4,.1813125,.20343751,,12,.47334146,.50836623,.57769912,.21984713,.21984713,1.0806618,1.0806618,.016409621,.016409621
56355,2011,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,61683,568237,200,10,31,34,.4145362973213196,200,0,52791,61683,,4,.35477823,.4145363,,12,.57462686,.57610035,.59040761,.38731202,.38731202,.93432593,.93432593,-.027224272,-.027224272
56355,2011,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,70445,568237,200,11,30,35,.4892013967037201,200,0,63802,70445,,4,.44306946,.4892014,,12,.56261349,.57691395,.59772366,.50631636,.50631636,1.0349855,1.0349855,.017114967,.017114967
56355,2011,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,57751,568237,200,12,31,36,.3881115615367889,200,0,47391,57751,,1,.31848791,.38811156,,12,.6233927,.62017536,.63028812,.42219827,.42219827,1.0878271,1.0878271,.034086704,.034086704
56355,2012,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,70799,579025,200,1,31,37,.4757997393608093,200,0,69941,70799,,1,.47003362,.47579974,,13,.61446434,.58967632,.55256736,.44395617,.44395617,.93307358,.93307358,-.031843573,-.031843573
56355,2012,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,49729,579025,200,2,29,38,.3572485744953156,200,0,52924,49729,,1,.38020116,.35724857,,13,.57101721,.56091243,.58407933,.37141502,.37141502,1.0396543,1.0396543,.014166445,.014166445
56355,2012,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,50263,579025,200,3,31,39,.3377889692783356,200,0,64992,50263,,2,.43677419,.33778897,,14,.55074072,.58271271,.61996001,.40370134,.40370134,1.1951288,1.1951288,.065912366,.065912366
56355,2012,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,45106,579025,200,4,30,40,.3132361173629761,200,0,59746,45106,,2,.41490278,.31323612,,14,.44131222,.43958253,.46753284,.35573351,.35573351,1.1356721,1.1356721,.042497396,.042497396
56355,2012,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,58143,579025,200,5,31,41,.3907459676265717,200,0,57945,58143,,2,.38941532,.39074597,,14,.52705419,.5501557,.58387631,.34684607,.34684607,.88765109,.88765109,-.043899894,-.043899894
56355,2012,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,39691,579025,200,6,30,42,.2756319344043732,200,0,40046,39691,,3,.27809721,.27563193,,15,.56950927,.60034674,.65524518,.2842856,.2842856,1.0313958,1.0313958,.0086536705,.0086536705
56355,2012,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,27573,579025,200,7,31,43,.1853024214506149,200,0,19738,27573,,3,.13264784,.18530242,,15,.54436725,.5653224,.6030069,.15350366,.15350366,.82839531,.82839531,-.031798765,-.031798765
56355,2012,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,31579,579025,200,8,31,44,.212224468588829,200,0,23135,31579,,3,.15547715,.21222447,,15,.50458759,.53900975,.62799579,.18276533,.18276533,.86118877,.86118877,-.029459134,-.029459134
56355,2012,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,34185,579025,200,9,30,45,.2373958379030228,200,0,31764,34185,,4,.22058333,.23739584,,16,.53718245,.56325144,.62197691,.24513581,.24513581,1.0326036,1.0326036,.007739976,.007739976
56355,2012,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,53149,579025,200,10,31,46,.3571841418743134,200,0,49232,53149,,4,.33086023,.35718414,,16,.54923487,.56612003,.59900749,.35781333,.35781333,1.0017616,1.0017616,.00062918663,.00062918663
56355,2012,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,63039,579025,200,11,30,47,.4377708435058594,200,0,53126,63039,,4,.36893055,.43777084,,16,.48108518,.52025175,.58323997,.43517318,.43517318,.99406618,.99406618,-.0025976598,-.0025976598
56355,2012,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,55769,579025,200,12,31,48,.3747916519641876,200,0,47045,55769,10909,1,.31616265,.37479165,.14810742,16,.4226124,.41625148,.40621832,.37479165,.32321948,1,.86239773,0,-.051572174
56355,2013,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,72668,639069,200,1,31,49,.4883602261543274,200,0,64897,72668,22984,1,.43613574,.48836023,.31204519,17,.63873303,.61698896,.57735062,.47027865,.47732353,.96297491,.97740048,-.018081576,-.011036694
56355,2013,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,50545,639069,200,2,28,50,.376078873872757,200,0,53292,50545,22454,1,.39651784,.37607887,.33751202,17,.511181,.50537109,.50889874,.41850117,.40209958,1.1128016,1.0691895,.042422295,.026020706
56355,2013,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,60563,639069,200,3,31,51,.4070094227790833,200,0,58574,60563,27774,2,.39364249,.40700942,.37707722,18,.44072741,.44816455,.46143028,.39756986,.36490917,.97680753,.89656198,-.0094395578,-.042100251
56355,2013,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,67285,639069,200,4,30,52,.4672569334506989,200,0,60613,67285,23399,2,.42092362,.46725693,.3282688,18,.48647553,.48654601,.47911394,.43744135,.41083774,.93619019,.87925446,-.029815584,-.056419194
56355,2013,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,62660,639069,200,5,31,53,.4211021363735199,200,0,55810,62660,13264,2,.3750672,.42110214,.18008037,18,.48568532,.49898574,.52775073,.37398782,.36404353,.88811666,.86450177,-.047114313,-.057058603
56355,2013,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,42807,639069,200,6,30,54,.2972708344459534,200,0,38877,42807,14602,3,.26997918,.29727083,.2048541,19,.53475374,.53656888,.5369463,.29001677,.28322217,.9755978,.95274121,-.0072540641,-.014048666
56355,2013,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,33248,639069,200,7,31,55,.2234408557415009,200,0,27146,33248,15864,3,.1824328,.22344086,.2153796,19,.57971781,.60059762,.63228774,.21816571,.24402794,.97639132,1.0921366,-.0052751452,.020587087
56355,2013,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,23486,639069,200,8,31,56,.1578360199928284,200,0,18563,23486,10551,3,.12475134,.15783602,.14324699,19,.60115862,.63854629,.71229184,.18640946,.23967509,1.1810324,1.5185069,.028573439,.08183907
56355,2013,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,42459,639069,200,9,30,57,.2948541641235352,200,0,38728,42459,12315,4,.26894444,.29485416,.17276937,20,.55151111,.57907081,.63736308,.30210945,.32971013,1.0246063,1.1182142,.007255286,.034855962
56355,2013,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,51787,639069,200,10,31,58,.3480309247970581,200,0,48607,51787,15242,4,.32665995,.34803092,.20693494,20,.58286387,.57282436,.57849389,.38713682,.39457333,1.1123632,1.1337306,.039105892,.046542406
56355,2013,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,73713,639069,200,11,30,59,.5118958353996277,200,0,66191,73713,21310,4,.45965973,.51189584,.29896185,20,.60401279,.59655172,.59876686,.5335356,.54791611,1.0422738,1.0703664,.021639764,.036020279
56355,2013,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,57848,639069,200,12,31,60,.388763427734375,200,0,34261,57848,19246,1,.23024866,.38876343,.26129577,20,.53944051,.52705455,.52133679,.36674696,.35460573,.94336796,.91213757,-.022016466,-.034157693
56355,2014,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,73872,621597,200,1,31,61,.4964516162872315,200,0,69401,73872,21111,1,.46640456,.49645162,.28661618,21,.58146328,.56138569,.52857834,.47173575,.46207494,.95021492,.9307552,-.024715871,-.034376681
56355,2014,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,60603,621597,200,2,28,62,.4509151875972748,200,0,50638,60603,22520,1,.37677082,.45091519,.33850408,21,.57889599,.57392889,.56535292,.38862595,.39156133,.86186039,.86837023,-.062289238,-.059353858
56355,2014,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,72075,621597,200,3,31,63,.484375,200,0,70971,72075,23799,2,.47695565,.484375,.32311013,22,.48877746,.49619737,.52144712,.4361544,.42405096,.90044779,.87546003,-.048220605,-.060324043
56355,2014,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,62152,621597,200,4,30,64,.4316111207008362,200,0,73207,62152,15720,2,.50838196,.43161112,.22053872,22,.46691176,.45749336,.46428943,.47745314,.44577178,1.1062114,1.0328089,.045842022,.014160663
56355,2014,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,37893,621597,200,5,31,65,.2546572685241699,200,0,47926,37893,10916,2,.32208332,.25465727,.14820245,22,.49390838,.49575725,.51568937,.32084286,.30676726,1.2599007,1.2046279,.066185594,.052109987
56355,2014,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,39128,621597,200,6,30,66,.2717222273349762,200,0,33974,39128,17204,3,.23593056,.27172223,.24135803,23,.5590502,.56646013,.58989358,.25058815,.2619293,.92222178,.96395981,-.021134079,-.0097929239
56355,2014,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,30755,621597,200,7,31,67,.2066868245601654,200,0,28105,30755,14427,3,.18887769,.20668682,.19587,23,.6009804,.61537033,.62400943,.20452806,.22755475,.98955542,1.100964,-.002158761,.020867929
56355,2014,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,17926,621597,200,8,31,68,.1204704269766808,200,0,15089,17926,9524,3,.10140457,.12047043,.12930378,23,.5352174,.53872889,.5605346,.15046269,.15174767,1.2489595,1.2596259,.02999226,.031277247
56355,2014,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,39718,621597,200,9,30,69,.2758194506168366,200,0,32052,39718,15674,4,.22258334,.27581945,.21989338,24,.58173996,.59443998,.62712169,.25339195,.27748469,.91868776,1.0060374,-.022427499,.0016652346
56355,2014,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,62014,621597,200,10,31,70,.4167607426643372,200,0,50612,62014,24907,4,.34013441,.41676074,.33815303,24,.53324789,.52704406,.50675422,.377042,.35990587,.90469652,.86357909,-.039718747,-.056854874
56355,2014,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,77367,621597,200,11,30,71,.5372708439826965,200,0,72446,77367,24303,4,.50309724,.53727084,.34095117,24,.57727563,.55696052,.51679188,.54314494,.52944702,1.0109332,.98543781,.0058740973,-.0078238249
56355,2014,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,48094,621597,200,12,31,72,.3232123553752899,200,0,44663,48094,21860,1,.30015457,.32321236,.29678506,24,.55038577,.55650645,.55588162,.39598313,.39567435,1.2251484,1.2241931,.072770774,.072461993
56355,2015,January,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,65837,653103,200,1,31,73,.4424529671669006,200,0,60362,65837,29913,1,.4056586,.44245297,.40611762,25,.60257304,.58137977,.5310232,.47851595,.46969256,1.081507,1.0615649,.036062986,.027239591
56355,2015,February,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,58772,653103,200,2,28,74,.4372916519641876,200,0,53199,58772,28227,1,.39582589,.43729165,.42428753,25,.52473956,.50418007,.46337488,.44651988,.41452524,1.0211031,.94793767,.0092282295,-.022766411
56355,2015,March,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,66461,653103,200,3,31,75,.446646511554718,200,0,57678,66461,22781,2,.38762096,.44664651,.30928913,26,.55004758,.54185587,.53253007,.42411423,.41580698,.9495523,.93095315,-.022532284,-.030839533
56355,2015,April,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,65611,653103,200,4,30,76,.4556319415569305,200,0,57533,65611,22098,2,.39953473,.45563194,.31001684,26,.46172085,.469401,.49443403,.45280048,.43144438,.99378562,.94691426,-.002831459,-.024187565
56355,2015,May,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,60024,653103,200,5,31,77,.4033870995044708,200,0,55725,60024,17953,2,.37449595,.4033871,.24374117,26,.55305868,.57252705,.61026531,.4043512,.42267019,1.00239,1.0478029,.00096410513,.019283086
56355,2015,June,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,30096,653103,200,6,30,78,.2090000063180924,200,0,26366,30096,14580,3,.18309723,.20900001,.20454545,27,.47794774,.4874106,.52462167,.26142195,.25040588,1.2508227,1.1981142,.052421942,.041405872
56355,2015,July,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,25495,653103,200,7,31,79,.171337366104126,200,0,20132,25495,13302,3,.1352957,.17133737,.18059629,27,.59639496,.59098995,.5925113,.21546236,.22770017,1.2575328,1.328958,.044124991,.056362808
56355,2015,August,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,36223,653103,200,8,31,80,.2434341460466385,200,0,27316,36223,16008,3,.18357527,.24343415,.21733464,27,.60336417,.61920267,.64177281,.25348431,.2825954,1.0412849,1.16087,.010050163,.03916125
56355,2015,September,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,43380,653103,200,9,30,81,.3012500107288361,200,0,34564,43380,18472,4,.24002777,.30125001,.25914702,28,.56993818,.60777229,.6763671,.3128916,.35385212,1.0386443,1.1746128,.011641592,.052602112
56355,2015,October,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,61640,653103,200,10,31,82,.4142473042011261,200,0,45748,61640,25428,4,.30744624,.4142473,.34522647,28,.54454452,.56616819,.60806441,.40419158,.42175671,.97572529,1.0181278,-.010055721,.0075094104
56355,2015,November,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,76454,653103,200,11,30,83,.5309305787086487,200,0,36851,76454,21677,4,.25590971,.53093058,.30411056,28,.5987832,.6010834,.60887295,.42777705,.44561914,.80571187,.83931714,-.10315353,-.085311443
56355,2015,December,Whispering Willow Wind Farm - East,Interstate Power and Light Co,9417,IA,WNC,MRO,WT,WND,63110,653103,200,12,31,84,.4241263568401337,200,0,34760,63110,20580,1,.23360215,.42412636,.27940696,28,.56135702,.54142249,.5184952,.39820537,.3850908,.93888378,.90796244,-.025920987,-.039035559
